Date in 2023,Solar exposure,Maximum temperature
1st January,27.5,36.5
2nd January,23,33.1
3rd January,18.4,22.5
4th January,7.6,18.3
5th January,21.7,22.6
6th January,29.8,26.6
7th January,31.4,31.2
8th January,31.7,32.6
9th January,30,28.4
10th January,24,24.4
11th January,31.4,33
12th January,24.6,26.3
13th January,19.8,26.9
14th January,30.5,38.2
15th January,16.3,20.9
16th January,21.9,28.5
17th January,27.7,37.8
18th January,4.2,19
19th January,20.8,19.6
20th January,29.3,23
21st January,28.2,25.4
22nd January,26.4,25.4
23rd January,28.7,28.2
24th January,12.7,28.8
25th January,23.8,31.6
26th January,24.9,23.4
27th January,29.7,27.8
28th January,18.8,35
29th January,7.1,23.6
30th January,15.1,21.4
31st January,24.1,23.3
1st March,19.3,22.8
2nd March,10.7,21.3
3rd March,20.7,21.1
4th March,15.3,32.1
5th March,17.9,34.4
6th March,21.3,25
7th March,17.2,23.4
8th March,17.5,21.3
9th March,13.4,23.6
10th March,19.2,25.4
11th March,20.5,26.6
12th March,13.8,21.6
13th March,20.2,24.5
14th March,18,31.6
15th March,16.7,27.2
16th March,16.4,30.5
17th March,20.3,26.3
18th March,9.1,37.6
19th March,8,19.4
20th March,19.1,21
21st March,5.8,20.1
22nd March,17.1,23.9
23rd March,14.2,23.3
24th March,5.2,19.7
25th March,14.7,20.3
26th March,11.2,19.4
27th March,4.3,18.1
28th March,15.5,22.7
29th March,9.9,19.5
30th March,12.1,20.3
31st March,11.1,21.4
1st May,9.3,18.1
2nd May,9.2,20.4
3rd May,8.1,15.6
4th May,6.7,16
5th May,10.2,16.9
6th May,6.3,11.5
7th May,8.5,12.1
8th May,8.6,14.8
9th May,8.6,15.3
10th May,6.5,14.7
11th May,11.3,17.6
12th May,9.6,18.2
13th May,9.7,16.8
14th May,11,20.2
15th May,10.9,21.4
16th May,5.9,13.2
17th May,10.3,14.4
18th May,8.5,13.9
19th May,7.6,15.1
20th May,7.1,14.7
21st May,6.3,14.8
22nd May,9.8,15.9
23rd May,10,16.4
24th May,10.1,15.5
25th May,4.8,14.9
26th May,8.3,13.7
27th May,7.7,15.6
28th May,6,16.1
29th May,7.2,16.4
30th May,6.9,18.5
31st May,3.7,17.4
